brand,model,year,rentalRate
Toyota,Camry,2020,50.00
Honda,Accord,2021,55.00
Ford,Fusion,2019,48.50
Chevrolet,Malibu,2022,52.75
Nissan,Altima,2018,45.80
Hyundai,Sonata,2020,49.25
Volkswagen,Passat,2017,44.90
BMW,3 Series,2022,60.50
Mercedes-Benz,C-Class,2019,58.75
Audi,A4,2020,56.20
Lexus,ES,2021,59.90
Mazda,6,2018,46.30
Subaru,Legacy,2021,53.40
Kia,Optima,2019,47.80
Tesla,Model S,2022,90.00
Jaguar,XE,2020,65.25
Volvo,S60,2017,49.90
Chrysler,300,2021,54.75
Buick,Regal,2018,48.60
Infiniti,Q50,2022,62.00

{
"brand": "Honda",
 "model": "Accord",
 "year": 2021,
 "rentalRate": 55.00,
 }
{
"brand": "Ford",
 "model": "Fusion",
 "year": 2019,
 "rentalRate": 48.50,
 }
{
"brand": "Chevrolet",
 "model": "Malibu",
 "year": 2022,
 "rentalRate": 52.75,
 }
{
"brand": "Nissan",
 "model": "Altima",
 "year": 2018,
 "rentalRate": 45.80,
 }
{
"brand": "Hyundai",
 "model": "Sonata",
 "year": 2020,
 "rentalRate": 49.25,
 }
{
"brand": "Volkswagen",
 "model": "Passat",
 "year": 2017,
 "rentalRate": 44.90,
 }
{
"brand": "BMW",
 "model": "3" 
 "year": Series,
 "rentalRate": 2022,60,
 .50}
{
"brand": "Mercedes"-
 "model": "Benz",
 "year": C-
 "rentalRate": Class,2019,
 ,58.75}
{
"brand": "Audi",
 "model": "A4",
 "year": 2020,
 "rentalRate": 56.20,
 }
{
"brand": "Lexus",
 "model": "ES",
 "year": 2021,
 "rentalRate": 59.90,
 }
{
"brand": "Mazda",
 "model": "6",
 "year": 2018,
 "rentalRate": 46.30,
 }
{
"brand": "Subaru",
 "model": "Legacy",
 "year": 2021,
 "rentalRate": 53.40,
 }
{
"brand": "Kia",
 "model": "Optima",
 "year": 2019,
 "rentalRate": 47.80,
 }
{
"brand": "Tesla",
 "model": "Model" 
 "year": S,
 "rentalRate": 2022,90,
 .00}
{
"brand": "Jaguar",
 "model": "XE",
 "year": 2020,
 "rentalRate": 65.25,
 }
{
"brand": "Volvo",
 "model": "S60",
 "year": 2017,
 "rentalRate": 49.90,
 }
{
"brand": "Chrysler",
 "model": "300",
 "year": 2021,
 "rentalRate": 54.75,
 }
{
"brand": "Buick",
 "model": "Regal",
 "year": 2018,
 "rentalRate": 48.60,
 }
{
"brand": "Infiniti",
 "model": "Q50",
 "year": 2022,
 "rentalRate": 62.00,
 }
